filename,d,o,rx,ry,rz,left,right
Andrey Bogolyubsky_8004-alley-of-rulers-moscow.stl,328.97,50,-90,0,0,Andrey Bogolyubsky_8004-alley-of-rulers-moscow_d328p97_left.PNG,Andrey Bogolyubsky_8004-alley-of-rulers-moscow_d328p97_right.PNG
Andrey Bogolyubsky_8004-alley-of-rulers-moscow.stl,474.88,50,-90,0,0,Andrey Bogolyubsky_8004-alley-of-rulers-moscow_d474p88_left.PNG,Andrey Bogolyubsky_8004-alley-of-rulers-moscow_d474p88_right.PNG
Andrey Bogolyubsky_8004-alley-of-rulers-moscow.stl,406.01,50,-90,0,0,Andrey Bogolyubsky_8004-alley-of-rulers-moscow_d406p01_left.PNG,Andrey Bogolyubsky_8004-alley-of-rulers-moscow_d406p01_right.PNG
Arthur Ashe monument_arthur-ashe.stl,415.05,50,-90.22,1.89,0,Arthur Ashe monument_arthur-ashe_d415p05_left.PNG,Arthur Ashe monument_arthur-ashe_d415p05_right.PNG
Arthur Ashe monument_arthur-ashe.stl,331.34,50,-90.22,1.89,0,Arthur Ashe monument_arthur-ashe_d331p34_left.PNG,Arthur Ashe monument_arthur-ashe_d331p34_right.PNG
Arthur Ashe monument_arthur-ashe.stl,202.09,50,-90.22,1.89,0,Arthur Ashe monument_arthur-ashe_d202p09_left.PNG,Arthur Ashe monument_arthur-ashe_d202p09_right.PNG
Arthur Ashe monument_arthur-ashe.stl,424.61,50,-90.22,1.89,0,Arthur Ashe monument_arthur-ashe_d424p61_left.PNG,Arthur Ashe monument_arthur-ashe_d424p61_right.PNG
Arthur Ashe monument_arthur-ashe.stl,347.51,50,-90.22,1.89,0,Arthur Ashe monument_arthur-ashe_d347p51_left.PNG,Arthur Ashe monument_arthur-ashe_d347p51_right.PNG
BoredFrog.stl,248.08,50,-56.73,58.6,39,BoredFrog_d248p08_left.PNG,BoredFrog_d248p08_right.PNG
BoredFrog.stl,301.52,50,-56.73,58.6,39,BoredFrog_d301p52_left.PNG,BoredFrog_d301p52_right.PNG
BoredFrog.stl,157.11,50,-56.73,58.6,39,BoredFrog_d157p11_left.PNG,BoredFrog_d157p11_right.PNG
BoredFrog.stl,213.86,50,-56.73,58.6,39,BoredFrog_d213p86_left.PNG,BoredFrog_d213p86_right.PNG
BoredFrog.stl,133.11,50,-56.73,58.6,39,BoredFrog_d133p11_left.PNG,BoredFrog_d133p11_right.PNG
Boris Godunov_8009-alley-of-rulers-moscow.stl,655.82,50,-88.18,94.31,0,Boris Godunov_8009-alley-of-rulers-moscow_d655p82_left.PNG,Boris Godunov_8009-alley-of-rulers-moscow_d655p82_right.PNG
Boris Godunov_8009-alley-of-rulers-moscow.stl,599.01,50,-88.18,94.31,0,Boris Godunov_8009-alley-of-rulers-moscow_d599p01_left.PNG,Boris Godunov_8009-alley-of-rulers-moscow_d599p01_right.PNG
Boris Godunov_8009-alley-of-rulers-moscow.stl,608.78,50,-88.18,94.31,0,Boris Godunov_8009-alley-of-rulers-moscow_d608p78_left.PNG,Boris Godunov_8009-alley-of-rulers-moscow_d608p78_right.PNG
Boris Godunov_8009-alley-of-rulers-moscow.stl,523.01,50,-88.18,94.31,0,Boris Godunov_8009-alley-of-rulers-moscow_d523p01_left.PNG,Boris Godunov_8009-alley-of-rulers-moscow_d523p01_right.PNG
Boris Godunov_8009-alley-of-rulers-moscow.stl,377.18,50,-88.18,94.31,0,Boris Godunov_8009-alley-of-rulers-moscow_d377p18_left.PNG,Boris Godunov_8009-alley-of-rulers-moscow_d377p18_right.PNG
Bronze Monument to Adam Mickevich_model-9008.stl,267.17,50,-85.51,4.95,0,Bronze Monument to Adam Mickevich_model-9008_d267p17_left.PNG,Bronze Monument to Adam Mickevich_model-9008_d267p17_right.PNG
Bronze Monument to Adam Mickevich_model-9008.stl,341.50,50,-85.51,4.95,0,Bronze Monument to Adam Mickevich_model-9008_d341p50_left.PNG,Bronze Monument to Adam Mickevich_model-9008_d341p50_right.PNG
Bronze Monument to Adam Mickevich_model-9008.stl,248.32,50,-85.51,4.95,0,Bronze Monument to Adam Mickevich_model-9008_d248p32_left.PNG,Bronze Monument to Adam Mickevich_model-9008_d248p32_right.PNG
Bronze Monument to Adam Mickevich_model-9008.stl,205.53,50,-85.51,4.95,0,Bronze Monument to Adam Mickevich_model-9008_d205p53_left.PNG,Bronze Monument to Adam Mickevich_model-9008_d205p53_right.PNG
Bronze Monument to Adam Mickevich_model-9008.stl,328.07,50,-85.51,4.95,0,Bronze Monument to Adam Mickevich_model-9008_d328p07_left.PNG,Bronze Monument to Adam Mickevich_model-9008_d328p07_right.PNG
"Bust of a drunken Satyr, replica of the Herculaneum type_busto-di-satiro-ebbro-replica-del-tipo-ercolano.stl",159.98,50,-82.21,-11.2,0,"Bust of a drunken Satyr, replica of the Herculaneum type_busto-di-satiro-ebbro-replica-del-tipo-ercolano_d159p98_left.PNG","Bust of a drunken Satyr, replica of the Herculaneum type_busto-di-satiro-ebbro-replica-del-tipo-ercolano_d159p98_right.PNG"
"Bust of a drunken Satyr, replica of the Herculaneum type_busto-di-satiro-ebbro-replica-del-tipo-ercolano.stl",191.02,50,-82.21,-11.2,0,"Bust of a drunken Satyr, replica of the Herculaneum type_busto-di-satiro-ebbro-replica-del-tipo-ercolano_d191p02_left.PNG","Bust of a drunken Satyr, replica of the Herculaneum type_busto-di-satiro-ebbro-replica-del-tipo-ercolano_d191p02_right.PNG"
"Bust of a drunken Satyr, replica of the Herculaneum type_busto-di-satiro-ebbro-replica-del-tipo-ercolano.stl",347.73,50,-82.21,-11.2,0,"Bust of a drunken Satyr, replica of the Herculaneum type_busto-di-satiro-ebbro-replica-del-tipo-ercolano_d347p73_left.PNG","Bust of a drunken Satyr, replica of the Herculaneum type_busto-di-satiro-ebbro-replica-del-tipo-ercolano_d347p73_right.PNG"
"Bust of a drunken Satyr, replica of the Herculaneum type_busto-di-satiro-ebbro-replica-del-tipo-ercolano.stl",286.28,50,-82.21,-11.2,0,"Bust of a drunken Satyr, replica of the Herculaneum type_busto-di-satiro-ebbro-replica-del-tipo-ercolano_d286p28_left.PNG","Bust of a drunken Satyr, replica of the Herculaneum type_busto-di-satiro-ebbro-replica-del-tipo-ercolano_d286p28_right.PNG"
"Bust of a drunken Satyr, replica of the Herculaneum type_busto-di-satiro-ebbro-replica-del-tipo-ercolano.stl",155.35,50,-82.21,-11.2,0,"Bust of a drunken Satyr, replica of the Herculaneum type_busto-di-satiro-ebbro-replica-del-tipo-ercolano_d155p35_left.PNG","Bust of a drunken Satyr, replica of the Herculaneum type_busto-di-satiro-ebbro-replica-del-tipo-ercolano_d155p35_right.PNG"
Feodor I of Russia_8011-alley-of-rulers-moscow.stl,525.49,50,-89.35,100.5,0,Feodor I of Russia_8011-alley-of-rulers-moscow_d525p49_left.PNG,Feodor I of Russia_8011-alley-of-rulers-moscow_d525p49_right.PNG
Feodor I of Russia_8011-alley-of-rulers-moscow.stl,347.60,50,-89.35,100.5,0,Feodor I of Russia_8011-alley-of-rulers-moscow_d347p60_left.PNG,Feodor I of Russia_8011-alley-of-rulers-moscow_d347p60_right.PNG
Feodor I of Russia_8011-alley-of-rulers-moscow.stl,581.69,50,-89.35,100.5,0,Feodor I of Russia_8011-alley-of-rulers-moscow_d581p69_left.PNG,Feodor I of Russia_8011-alley-of-rulers-moscow_d581p69_right.PNG
Feodor I of Russia_8011-alley-of-rulers-moscow.stl,235.86,50,-89.35,100.5,0,Feodor I of Russia_8011-alley-of-rulers-moscow_d235p86_left.PNG,Feodor I of Russia_8011-alley-of-rulers-moscow_d235p86_right.PNG
Feodor I of Russia_8011-alley-of-rulers-moscow.stl,453.29,50,-89.35,100.5,0,Feodor I of Russia_8011-alley-of-rulers-moscow_d453p29_left.PNG,Feodor I of Russia_8011-alley-of-rulers-moscow_d453p29_right.PNG
Figure at the entrance of Goa Gajah_goa-gaja-temple-ubud.stl,304.38,50,-76.75,-9.88,0,Figure at the entrance of Goa Gajah_goa-gaja-temple-ubud_d304p38_left.PNG,Figure at the entrance of Goa Gajah_goa-gaja-temple-ubud_d304p38_right.PNG
Figure at the entrance of Goa Gajah_goa-gaja-temple-ubud.stl,326.39,50,-76.75,-9.88,0,Figure at the entrance of Goa Gajah_goa-gaja-temple-ubud_d326p39_left.PNG,Figure at the entrance of Goa Gajah_goa-gaja-temple-ubud_d326p39_right.PNG
Figure at the entrance of Goa Gajah_goa-gaja-temple-ubud.stl,165.26,50,-76.75,-9.88,0,Figure at the entrance of Goa Gajah_goa-gaja-temple-ubud_d165p26_left.PNG,Figure at the entrance of Goa Gajah_goa-gaja-temple-ubud_d165p26_right.PNG
Figure at the entrance of Goa Gajah_goa-gaja-temple-ubud.stl,360.77,50,-76.75,-9.88,0,Figure at the entrance of Goa Gajah_goa-gaja-temple-ubud_d360p77_left.PNG,Figure at the entrance of Goa Gajah_goa-gaja-temple-ubud_d360p77_right.PNG
Figure at the entrance of Goa Gajah_goa-gaja-temple-ubud.stl,371.43,50,-76.75,-9.88,0,Figure at the entrance of Goa Gajah_goa-gaja-temple-ubud_d371p43_left.PNG,Figure at the entrance of Goa Gajah_goa-gaja-temple-ubud_d371p43_right.PNG
Granite tub_vasca-in-granito.stl,267.87,50,-58.38,3.45,0,Granite tub_vasca-in-granito_d267p87_left.PNG,Granite tub_vasca-in-granito_d267p87_right.PNG
Granite tub_vasca-in-granito.stl,355.28,50,-58.38,3.45,0,Granite tub_vasca-in-granito_d355p28_left.PNG,Granite tub_vasca-in-granito_d355p28_right.PNG
Granite tub_vasca-in-granito.stl,280.61,50,-58.38,3.45,0,Granite tub_vasca-in-granito_d280p61_left.PNG,Granite tub_vasca-in-granito_d280p61_right.PNG
Granite tub_vasca-in-granito.stl,191.58,50,-58.38,3.45,0,Granite tub_vasca-in-granito_d191p58_left.PNG,Granite tub_vasca-in-granito_d191p58_right.PNG
Granite tub_vasca-in-granito.stl,147.28,50,-58.38,3.45,0,Granite tub_vasca-in-granito_d147p28_left.PNG,Granite tub_vasca-in-granito_d147p28_right.PNG
Islamic Figurine of a Lion_bm-islamic-animal-figurine.stl,147.11,50,-81.87,30.79,0,Islamic Figurine of a Lion_bm-islamic-animal-figurine_d147p11_left.PNG,Islamic Figurine of a Lion_bm-islamic-animal-figurine_d147p11_right.PNG
Islamic Figurine of a Lion_bm-islamic-animal-figurine.stl,264.66,50,-81.87,30.79,0,Islamic Figurine of a Lion_bm-islamic-animal-figurine_d264p66_left.PNG,Islamic Figurine of a Lion_bm-islamic-animal-figurine_d264p66_right.PNG
Islamic Figurine of a Lion_bm-islamic-animal-figurine.stl,167.58,50,-81.87,30.79,0,Islamic Figurine of a Lion_bm-islamic-animal-figurine_d167p58_left.PNG,Islamic Figurine of a Lion_bm-islamic-animal-figurine_d167p58_right.PNG
Islamic Figurine of a Lion_bm-islamic-animal-figurine.stl,193.27,50,-81.87,30.79,0,Islamic Figurine of a Lion_bm-islamic-animal-figurine_d193p27_left.PNG,Islamic Figurine of a Lion_bm-islamic-animal-figurine_d193p27_right.PNG
Islamic Figurine of a Lion_bm-islamic-animal-figurine.stl,348.89,50,-81.87,30.79,0,Islamic Figurine of a Lion_bm-islamic-animal-figurine_d348p89_left.PNG,Islamic Figurine of a Lion_bm-islamic-animal-figurine_d348p89_right.PNG
J. E. B. Stuart Monument_jeb-stuart.stl,384.55,50,-93.03,-84.11,0,J. E. B. Stuart Monument_jeb-stuart_d384p55_left.PNG,J. E. B. Stuart Monument_jeb-stuart_d384p55_right.PNG
J. E. B. Stuart Monument_jeb-stuart.stl,385.79,50,-93.03,-84.11,0,J. E. B. Stuart Monument_jeb-stuart_d385p79_left.PNG,J. E. B. Stuart Monument_jeb-stuart_d385p79_right.PNG
J. E. B. Stuart Monument_jeb-stuart.stl,213.99,50,-93.03,-84.11,0,J. E. B. Stuart Monument_jeb-stuart_d213p99_left.PNG,J. E. B. Stuart Monument_jeb-stuart_d213p99_right.PNG
J. E. B. Stuart Monument_jeb-stuart.stl,443.34,50,-93.03,-84.11,0,J. E. B. Stuart Monument_jeb-stuart_d443p34_left.PNG,J. E. B. Stuart Monument_jeb-stuart_d443p34_right.PNG
J. E. B. Stuart Monument_jeb-stuart.stl,284.43,50,-93.03,-84.11,0,J. E. B. Stuart Monument_jeb-stuart_d284p43_left.PNG,J. E. B. Stuart Monument_jeb-stuart_d284p43_right.PNG
Jefferson Davis Memorial_davis-monument.stl,309.02,50,-88.36,-103.58,0,Jefferson Davis Memorial_davis-monument_d309p02_left.PNG,Jefferson Davis Memorial_davis-monument_d309p02_right.PNG
Jefferson Davis Memorial_davis-monument.stl,302.75,50,-88.36,-103.58,0,Jefferson Davis Memorial_davis-monument_d302p75_left.PNG,Jefferson Davis Memorial_davis-monument_d302p75_right.PNG
Jefferson Davis Memorial_davis-monument.stl,316.67,50,-88.36,-103.58,0,Jefferson Davis Memorial_davis-monument_d316p67_left.PNG,Jefferson Davis Memorial_davis-monument_d316p67_right.PNG
Jefferson Davis Memorial_davis-monument.stl,270.57,50,-88.36,-103.58,0,Jefferson Davis Memorial_davis-monument_d270p57_left.PNG,Jefferson Davis Memorial_davis-monument_d270p57_right.PNG
Jefferson Davis Memorial_davis-monument.stl,143.31,50,-88.36,-103.58,0,Jefferson Davis Memorial_davis-monument_d143p31_left.PNG,Jefferson Davis Memorial_davis-monument_d143p31_right.PNG
Large_Deep_One_ver4.stl,243.47,50,-85.66,1.25,0,Large_Deep_One_ver4_d243p47_left.PNG,Large_Deep_One_ver4_d243p47_right.PNG
Large_Deep_One_ver4.stl,99.31,50,-85.66,1.25,0,Large_Deep_One_ver4_d99p31_left.PNG,Large_Deep_One_ver4_d99p31_right.PNG
Large_Deep_One_ver4.stl,200.55,50,-85.66,1.25,0,Large_Deep_One_ver4_d200p55_left.PNG,Large_Deep_One_ver4_d200p55_right.PNG
Large_Deep_One_ver4.stl,84.22,50,-85.66,1.25,0,Large_Deep_One_ver4_d84p22_left.PNG,Large_Deep_One_ver4_d84p22_right.PNG
Large_Deep_One_ver4.stl,201.24,50,-85.66,1.25,0,Large_Deep_One_ver4_d201p24_left.PNG,Large_Deep_One_ver4_d201p24_right.PNG
Left side triton of Trevi Fountain_trevi-fountain-left-side-sculpture-trevi-fountain.stl,503.49,50,-75.28,-48.77,-9,Left side triton of Trevi Fountain_trevi-fountain-left-side-sculpture-trevi-fountain_d503p49_left.PNG,Left side triton of Trevi Fountain_trevi-fountain-left-side-sculpture-trevi-fountain_d503p49_right.PNG
Left side triton of Trevi Fountain_trevi-fountain-left-side-sculpture-trevi-fountain.stl,275.06,50,-75.28,-48.77,-9,Left side triton of Trevi Fountain_trevi-fountain-left-side-sculpture-trevi-fountain_d275p06_left.PNG,Left side triton of Trevi Fountain_trevi-fountain-left-side-sculpture-trevi-fountain_d275p06_right.PNG
Left side triton of Trevi Fountain_trevi-fountain-left-side-sculpture-trevi-fountain.stl,265.95,50,-75.28,-48.77,-9,Left side triton of Trevi Fountain_trevi-fountain-left-side-sculpture-trevi-fountain_d265p95_left.PNG,Left side triton of Trevi Fountain_trevi-fountain-left-side-sculpture-trevi-fountain_d265p95_right.PNG
Left side triton of Trevi Fountain_trevi-fountain-left-side-sculpture-trevi-fountain.stl,197.66,50,-75.28,-48.77,-9,Left side triton of Trevi Fountain_trevi-fountain-left-side-sculpture-trevi-fountain_d197p66_left.PNG,Left side triton of Trevi Fountain_trevi-fountain-left-side-sculpture-trevi-fountain_d197p66_right.PNG
Left side triton of Trevi Fountain_trevi-fountain-left-side-sculpture-trevi-fountain.stl,539.79,50,-75.28,-48.77,-9,Left side triton of Trevi Fountain_trevi-fountain-left-side-sculpture-trevi-fountain_d539p79_left.PNG,Left side triton of Trevi Fountain_trevi-fountain-left-side-sculpture-trevi-fountain_d539p79_right.PNG
"Male portrait on an ancient bust, called Caesar_ritratto-maschile-su-busto-antico-non-pertinente-detto-cesare.stl",154.81,50,-80.33,4.37,0,"Male portrait on an ancient bust, called Caesar_ritratto-maschile-su-busto-antico-non-pertinente-detto-cesare_d154p81_left.PNG","Male portrait on an ancient bust, called Caesar_ritratto-maschile-su-busto-antico-non-pertinente-detto-cesare_d154p81_right.PNG"
"Male portrait on an ancient bust, called Caesar_ritratto-maschile-su-busto-antico-non-pertinente-detto-cesare.stl",334.68,50,-80.33,4.37,0,"Male portrait on an ancient bust, called Caesar_ritratto-maschile-su-busto-antico-non-pertinente-detto-cesare_d334p68_left.PNG","Male portrait on an ancient bust, called Caesar_ritratto-maschile-su-busto-antico-non-pertinente-detto-cesare_d334p68_right.PNG"
"Male portrait on an ancient bust, called Caesar_ritratto-maschile-su-busto-antico-non-pertinente-detto-cesare.stl",290.91,50,-80.33,4.37,0,"Male portrait on an ancient bust, called Caesar_ritratto-maschile-su-busto-antico-non-pertinente-detto-cesare_d290p91_left.PNG","Male portrait on an ancient bust, called Caesar_ritratto-maschile-su-busto-antico-non-pertinente-detto-cesare_d290p91_right.PNG"
"Male portrait on an ancient bust, called Caesar_ritratto-maschile-su-busto-antico-non-pertinente-detto-cesare.stl",117.49,50,-80.33,4.37,0,"Male portrait on an ancient bust, called Caesar_ritratto-maschile-su-busto-antico-non-pertinente-detto-cesare_d117p49_left.PNG","Male portrait on an ancient bust, called Caesar_ritratto-maschile-su-busto-antico-non-pertinente-detto-cesare_d117p49_right.PNG"
"Male portrait on an ancient bust, called Caesar_ritratto-maschile-su-busto-antico-non-pertinente-detto-cesare.stl",341.54,50,-80.33,4.37,0,"Male portrait on an ancient bust, called Caesar_ritratto-maschile-su-busto-antico-non-pertinente-detto-cesare_d341p54_left.PNG","Male portrait on an ancient bust, called Caesar_ritratto-maschile-su-busto-antico-non-pertinente-detto-cesare_d341p54_right.PNG"
Michael of Russia_8008-alley-of-rulers-moscow.stl,287.74,50,-90.14,94.43,0,Michael of Russia_8008-alley-of-rulers-moscow_d287p74_left.PNG,Michael of Russia_8008-alley-of-rulers-moscow_d287p74_right.PNG
Michael of Russia_8008-alley-of-rulers-moscow.stl,564.61,50,-90.14,94.43,0,Michael of Russia_8008-alley-of-rulers-moscow_d564p61_left.PNG,Michael of Russia_8008-alley-of-rulers-moscow_d564p61_right.PNG
Michael of Russia_8008-alley-of-rulers-moscow.stl,567.82,50,-90.14,94.43,0,Michael of Russia_8008-alley-of-rulers-moscow_d567p82_left.PNG,Michael of Russia_8008-alley-of-rulers-moscow_d567p82_right.PNG
Michael of Russia_8008-alley-of-rulers-moscow.stl,637.96,50,-90.14,94.43,0,Michael of Russia_8008-alley-of-rulers-moscow_d637p96_left.PNG,Michael of Russia_8008-alley-of-rulers-moscow_d637p96_right.PNG
Michael of Russia_8008-alley-of-rulers-moscow.stl,454.02,50,-90.14,94.43,0,Michael of Russia_8008-alley-of-rulers-moscow_d454p02_left.PNG,Michael of Russia_8008-alley-of-rulers-moscow_d454p02_right.PNG
Modern portrait bust known as Scipio_busto-ritratto-moderno-detto-scipione3.stl,237.53,50,-81.13,4.06,0,Modern portrait bust known as Scipio_busto-ritratto-moderno-detto-scipione3_d237p53_left.PNG,Modern portrait bust known as Scipio_busto-ritratto-moderno-detto-scipione3_d237p53_right.PNG
Modern portrait bust known as Scipio_busto-ritratto-moderno-detto-scipione3.stl,307.36,50,-81.13,4.06,0,Modern portrait bust known as Scipio_busto-ritratto-moderno-detto-scipione3_d307p36_left.PNG,Modern portrait bust known as Scipio_busto-ritratto-moderno-detto-scipione3_d307p36_right.PNG
Modern portrait bust known as Scipio_busto-ritratto-moderno-detto-scipione3.stl,307.09,50,-81.13,4.06,0,Modern portrait bust known as Scipio_busto-ritratto-moderno-detto-scipione3_d307p09_left.PNG,Modern portrait bust known as Scipio_busto-ritratto-moderno-detto-scipione3_d307p09_right.PNG
Modern portrait bust known as Scipio_busto-ritratto-moderno-detto-scipione3.stl,137.68,50,-81.13,4.06,0,Modern portrait bust known as Scipio_busto-ritratto-moderno-detto-scipione3_d137p68_left.PNG,Modern portrait bust known as Scipio_busto-ritratto-moderno-detto-scipione3_d137p68_right.PNG
Modern portrait bust known as Scipio_busto-ritratto-moderno-detto-scipione3.stl,264.53,50,-81.13,4.06,0,Modern portrait bust known as Scipio_busto-ritratto-moderno-detto-scipione3_d264p53_left.PNG,Modern portrait bust known as Scipio_busto-ritratto-moderno-detto-scipione3_d264p53_right.PNG
Modern portrait of Tiberius_ritratto-moderno-di-tiberio.stl,352.35,50,-76.87,6.33,0,Modern portrait of Tiberius_ritratto-moderno-di-tiberio_d352p35_left.PNG,Modern portrait of Tiberius_ritratto-moderno-di-tiberio_d352p35_right.PNG
Modern portrait of Tiberius_ritratto-moderno-di-tiberio.stl,358.59,50,-76.87,6.33,0,Modern portrait of Tiberius_ritratto-moderno-di-tiberio_d358p59_left.PNG,Modern portrait of Tiberius_ritratto-moderno-di-tiberio_d358p59_right.PNG
Modern portrait of Tiberius_ritratto-moderno-di-tiberio.stl,193.24,50,-76.87,6.33,0,Modern portrait of Tiberius_ritratto-moderno-di-tiberio_d193p24_left.PNG,Modern portrait of Tiberius_ritratto-moderno-di-tiberio_d193p24_right.PNG
Modern portrait of Tiberius_ritratto-moderno-di-tiberio.stl,206.83,50,-76.87,6.33,0,Modern portrait of Tiberius_ritratto-moderno-di-tiberio_d206p83_left.PNG,Modern portrait of Tiberius_ritratto-moderno-di-tiberio_d206p83_right.PNG
Modern portrait of Tiberius_ritratto-moderno-di-tiberio.stl,125.70,50,-76.87,6.33,0,Modern portrait of Tiberius_ritratto-moderno-di-tiberio_d125p70_left.PNG,Modern portrait of Tiberius_ritratto-moderno-di-tiberio_d125p70_right.PNG
Monkey God_monkey-god-sculpture.stl,263.99,50,-80.29,13.13,0,Monkey God_monkey-god-sculpture_d263p99_left.PNG,Monkey God_monkey-god-sculpture_d263p99_right.PNG
Monkey God_monkey-god-sculpture.stl,296.30,50,-80.29,13.13,0,Monkey God_monkey-god-sculpture_d296p30_left.PNG,Monkey God_monkey-god-sculpture_d296p30_right.PNG
Monkey God_monkey-god-sculpture.stl,354.60,50,-80.29,13.13,0,Monkey God_monkey-god-sculpture_d354p60_left.PNG,Monkey God_monkey-god-sculpture_d354p60_right.PNG
Monkey God_monkey-god-sculpture.stl,139.12,50,-80.29,13.13,0,Monkey God_monkey-god-sculpture_d139p12_left.PNG,Monkey God_monkey-god-sculpture_d139p12_right.PNG
Monkey God_monkey-god-sculpture.stl,238.72,50,-80.29,13.13,0,Monkey God_monkey-god-sculpture_d238p72_left.PNG,Monkey God_monkey-god-sculpture_d238p72_right.PNG
Monument to Belarussian Artist Jazep Drazdovich_model-9016.stl,78.03,50,-70.44,3.62,0,Monument to Belarussian Artist Jazep Drazdovich_model-9016_d78p03_left.PNG,Monument to Belarussian Artist Jazep Drazdovich_model-9016_d78p03_right.PNG
Monument to Belarussian Artist Jazep Drazdovich_model-9016.stl,49.63,50,-70.44,3.62,0,Monument to Belarussian Artist Jazep Drazdovich_model-9016_d49p63_left.PNG,Monument to Belarussian Artist Jazep Drazdovich_model-9016_d49p63_right.PNG
Monument to Belarussian Artist Jazep Drazdovich_model-9016.stl,55.38,50,-70.44,3.62,0,Monument to Belarussian Artist Jazep Drazdovich_model-9016_d55p38_left.PNG,Monument to Belarussian Artist Jazep Drazdovich_model-9016_d55p38_right.PNG
